[   0.0s] loading gold from runs/encoder_gold_v4b.jsonl
[   0.1s] 987 gold records
[   0.1s] holdout mode: 98 held-out sentences, pool=791, train subset=788 (subset_seed=0)
[   0.1s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  13.8s] USVS loaded: 117679 senses, d_axes=607
[  13.8s] pos_vocab=15 role_vocab=39
[  13.8s] policy params: 343,366 (~1.373 MB fp32)
[  13.8s] building features + derivations for 788 train records
[  14.6s] 788 teacher-forced derivations
[  14.7s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[ 454.0s] epoch 14 step 11550 avg_loss=18.138
[ 456.0s] epoch 14 step 11600 avg_loss=18.567
[ 457.9s] epoch 14 step 11650 avg_loss=19.060
[ 459.9s] epoch 14 step 11700 avg_loss=19.272
[ 461.8s] epoch 14 step 11750 avg_loss=19.090
[ 463.5s] epoch 14 step 11800 avg_loss=19.152
[ 464.1s] === epoch 14 done: avg_loss=19.062 (n=788 derivations) ===
[ 465.3s] epoch 15 step 11850 avg_loss=17.863
[ 467.3s] epoch 15 step 11900 avg_loss=21.683
[ 469.3s] epoch 15 step 11950 avg_loss=20.286
[ 470.9s] epoch 15 step 12000 avg_loss=19.000
[ 472.5s] epoch 15 step 12050 avg_loss=18.578
[ 474.5s] epoch 15 step 12100 avg_loss=18.957
[ 476.2s] epoch 15 step 12150 avg_loss=18.261
[ 478.2s] epoch 15 step 12200 avg_loss=18.317
[ 480.0s] epoch 15 step 12250 avg_loss=18.571
[ 481.6s] epoch 15 step 12300 avg_loss=18.108
[ 483.2s] epoch 15 step 12350 avg_loss=17.950
[ 484.8s] epoch 15 step 12400 avg_loss=17.888
[ 486.5s] epoch 15 step 12450 avg_loss=17.891
[ 488.6s] epoch 15 step 12500 avg_loss=18.245
[ 490.3s] epoch 15 step 12550 avg_loss=18.130
[ 492.2s] epoch 15 step 12600 avg_loss=18.238
[ 492.5s] === epoch 15 done: avg_loss=18.291 (n=788 derivations) ===
[ 494.3s] epoch 16 step 12650 avg_loss=18.340
[ 496.3s] epoch 16 step 12700 avg_loss=16.945
[ 498.3s] epoch 16 step 12750 avg_loss=17.435
[ 499.9s] epoch 16 step 12800 avg_loss=17.344
[ 501.6s] epoch 16 step 12850 avg_loss=17.149
[ 503.2s] epoch 16 step 12900 avg_loss=16.865
[ 505.0s] epoch 16 step 12950 avg_loss=16.634
[ 506.7s] epoch 16 step 13000 avg_loss=16.663
[ 508.8s] epoch 16 step 13050 avg_loss=17.637
[ 511.0s] epoch 16 step 13100 avg_loss=17.699
[ 512.9s] epoch 16 step 13150 avg_loss=17.506
[ 514.8s] epoch 16 step 13200 avg_loss=17.584
[ 516.7s] epoch 16 step 13250 avg_loss=17.482
[ 518.4s] epoch 16 step 13300 avg_loss=17.212
[ 520.3s] epoch 16 step 13350 avg_loss=17.282
[ 522.2s] === epoch 16 done: avg_loss=17.459 (n=788 derivations) ===
[ 522.4s] epoch 17 step 13400 avg_loss=30.253
[ 524.2s] epoch 17 step 13450 avg_loss=18.129
[ 526.2s] epoch 17 step 13500 avg_loss=16.928
[ 528.0s] epoch 17 step 13550 avg_loss=15.944
[ 529.9s] epoch 17 step 13600 avg_loss=16.653
[ 532.1s] epoch 17 step 13650 avg_loss=17.234
[ 533.9s] epoch 17 step 13700 avg_loss=17.505
[ 535.7s] epoch 17 step 13750 avg_loss=17.380
[ 537.4s] epoch 17 step 13800 avg_loss=16.821
[ 539.5s] epoch 17 step 13850 avg_loss=16.915
[ 541.1s] epoch 17 step 13900 avg_loss=17.097
[ 542.7s] epoch 17 step 13950 avg_loss=16.936
[ 544.4s] epoch 17 step 14000 avg_loss=16.891
[ 546.2s] epoch 17 step 14050 avg_loss=16.946
[ 547.9s] epoch 17 step 14100 avg_loss=16.716
[ 549.8s] epoch 17 step 14150 avg_loss=16.643
[ 551.3s] === epoch 17 done: avg_loss=16.699 (n=788 derivations) ===
[ 551.8s] epoch 18 step 14200 avg_loss=12.419
[ 553.4s] epoch 18 step 14250 avg_loss=13.266
[ 555.2s] epoch 18 step 14300 avg_loss=13.915
[ 557.6s] epoch 18 step 14350 avg_loss=15.541
[ 559.5s] epoch 18 step 14400 avg_loss=15.971
[ 561.8s] epoch 18 step 14450 avg_loss=16.048
[ 563.4s] epoch 18 step 14500 avg_loss=16.053
[ 565.0s] epoch 18 step 14550 avg_loss=15.560
[ 566.9s] epoch 18 step 14600 avg_loss=15.557
[ 568.5s] epoch 18 step 14650 avg_loss=15.443
[ 570.0s] epoch 18 step 14700 avg_loss=15.126
[ 571.7s] epoch 18 step 14750 avg_loss=15.259
[ 573.4s] epoch 18 step 14800 avg_loss=15.190
[ 575.1s] epoch 18 step 14850 avg_loss=15.367
[ 577.1s] epoch 18 step 14900 avg_loss=15.724
[ 579.0s] epoch 18 step 14950 avg_loss=15.789
[ 580.1s] === epoch 18 done: avg_loss=15.987 (n=788 derivations) ===
[ 581.4s] epoch 19 step 15000 avg_loss=17.126
[ 583.2s] epoch 19 step 15050 avg_loss=14.489
[ 585.0s] epoch 19 step 15100 avg_loss=14.917
[ 587.1s] epoch 19 step 15150 avg_loss=14.819
[ 589.1s] epoch 19 step 15200 avg_loss=15.325
[ 591.3s] epoch 19 step 15250 avg_loss=15.847
[ 593.3s] epoch 19 step 15300 avg_loss=15.479
[ 595.2s] epoch 19 step 15350 avg_loss=15.387
[ 596.9s] epoch 19 step 15400 avg_loss=15.042
[ 598.9s] epoch 19 step 15450 avg_loss=15.357
[ 600.7s] epoch 19 step 15500 avg_loss=15.251
[ 602.6s] epoch 19 step 15550 avg_loss=15.332
[ 604.7s] epoch 19 step 15600 avg_loss=15.399
[ 606.3s] epoch 19 step 15650 avg_loss=15.165
[ 608.3s] epoch 19 step 15700 avg_loss=15.322
[ 610.1s] epoch 19 step 15750 avg_loss=15.290
[ 612.3s] eval step=500 train_avg_loss=15.240 dev_rank1_f1=0.3166 dev_edge_p=0.2706 dev_edge_r=0.3813
[ 612.3s] === epoch 19 done: avg_loss=15.240 (n=788 derivations) ===
[ 613.8s] epoch 20 step 15800 avg_loss=12.418
[ 615.6s] epoch 20 step 15850 avg_loss=13.543
[ 617.9s] epoch 20 step 15900 avg_loss=14.407
[ 620.0s] epoch 20 step 15950 avg_loss=15.185
[ 621.7s] epoch 20 step 16000 avg_loss=14.486
[ 623.6s] epoch 20 step 16050 avg_loss=14.238
[ 625.3s] epoch 20 step 16100 avg_loss=13.868
[ 627.3s] epoch 20 step 16150 avg_loss=14.157
[ 628.9s] epoch 20 step 16200 avg_loss=13.689
[ 630.8s] epoch 20 step 16250 avg_loss=14.058
[ 632.8s] epoch 20 step 16300 avg_loss=14.055
[ 634.3s] epoch 20 step 16350 avg_loss=14.028
[ 636.3s] epoch 20 step 16400 avg_loss=13.921
[ 638.1s] epoch 20 step 16450 avg_loss=14.043
[ 640.0s] epoch 20 step 16500 avg_loss=14.141
[ 641.7s] === epoch 20 done: avg_loss=14.553 (n=788 derivations) ===
[ 641.8s] epoch 21 step 16550 avg_loss=25.332
[ 643.7s] epoch 21 step 16600 avg_loss=13.888
[ 645.4s] epoch 21 step 16650 avg_loss=12.902
[ 647.3s] epoch 21 step 16700 avg_loss=13.497
[ 649.1s] epoch 21 step 16750 avg_loss=13.484
[ 650.8s] epoch 21 step 16800 avg_loss=13.420
[ 652.9s] epoch 21 step 16850 avg_loss=13.719
[ 654.8s] epoch 21 step 16900 avg_loss=13.990
[ 656.5s] epoch 21 step 16950 avg_loss=13.950
[ 658.4s] epoch 21 step 17000 avg_loss=13.947
[ 660.2s] epoch 21 step 17050 avg_loss=13.851
[ 661.8s] epoch 21 step 17100 avg_loss=13.474
[ 663.6s] epoch 21 step 17150 avg_loss=13.783
[ 665.6s] epoch 21 step 17200 avg_loss=13.846
[ 667.5s] epoch 21 step 17250 avg_loss=13.862
[ 669.4s] epoch 21 step 17300 avg_loss=13.895
[ 670.7s] === epoch 21 done: avg_loss=13.939 (n=788 derivations) ===
[ 671.4s] epoch 22 step 17350 avg_loss=15.959
[ 673.2s] epoch 22 step 17400 avg_loss=11.878
[ 675.4s] epoch 22 step 17450 avg_loss=13.075
[ 677.1s] epoch 22 step 17500 avg_loss=12.523
[ 679.0s] epoch 22 step 17550 avg_loss=12.321
[ 681.0s] epoch 22 step 17600 avg_loss=12.306
[ 682.8s] epoch 22 step 17650 avg_loss=12.677
[ 684.5s] epoch 22 step 17700 avg_loss=12.380
[ 686.2s] epoch 22 step 17750 avg_loss=12.421
[ 688.0s] epoch 22 step 17800 avg_loss=12.441
[ 690.2s] epoch 22 step 17850 avg_loss=12.961
[ 692.0s] epoch 22 step 17900 avg_loss=12.920
[ 693.7s] epoch 22 step 17950 avg_loss=12.741
[ 695.9s] epoch 22 step 18000 avg_loss=13.013
[ 698.1s] epoch 22 step 18050 avg_loss=13.287
[ 700.0s] epoch 22 step 18100 avg_loss=13.401
[ 700.9s] === epoch 22 done: avg_loss=13.283 (n=788 derivations) ===
[ 701.9s] epoch 23 step 18150 avg_loss=14.446
[ 703.9s] epoch 23 step 18200 avg_loss=14.850
[ 705.7s] epoch 23 step 18250 avg_loss=13.739
[ 707.7s] epoch 23 step 18300 avg_loss=12.804
[ 709.4s] epoch 23 step 18350 avg_loss=12.276
[ 711.6s] epoch 23 step 18400 avg_loss=12.991
[ 713.4s] epoch 23 step 18450 avg_loss=12.717
[ 715.4s] epoch 23 step 18500 avg_loss=13.076
